DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:47:50.689,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
520812,0.9823,0.0172,0.0328,0.1838,1.5001,-0.1353,2.1896,0
520979,0.9802,0.0221,0.0303,0.1947,-0.2674,1.2845,2.1867,0
521146,0.9797,0.0278,0.0250,0.1969,0.5173,-0.8904,1.2291,0
521312,0.9799,0.0309,0.0158,0.1965,0.1915,-1.2932,0.7268,0
521479,0.9793,0.0261,0.0117,0.2003,-0.7875,0.3318,1.9766,0
521646,0.9788,0.0217,0.0090,0.2034,-0.5205,0.0976,0.5594,0
521812,0.9794,0.0182,0.0078,0.2011,-0.7458,-0.8687,0.1766,0
521979,0.9794,0.0121,0.0084,0.2016,-0.8525,-1.5105,0.2194,0
522146,0.9791,0.0052,0.0120,0.2030,-0.5922,-0.9147,0.4116,0
522312,0.9792,0.0013,0.0153,0.2025,-0.3680,-0.0361,0.3692,0
522479,0.9795,0.0003,0.0178,0.2005,-0.2288,-0.0417,0.1920,0
522646,0.9802,0.0001,0.0197,0.1969,0.0752,-0.0099,0.0644,0
522812,0.9810,0.0010,0.0190,0.1930,0.0680,-0.9376,0.2053,0
522979,0.9818,0.0024,-0.0001,0.1900,1.0804,0.6058,-2.1
