DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:46:56.659,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
393077,0.3808,0.0063,-0.0155,-0.9245,-0.1569,0.1764,0.1465,0
393243,0.3809,0.0063,-0.0156,-0.9245,-0.1539,0.1880,0.1688,0
393410,0.3810,0.0064,-0.0158,-0.9244,-0.1486,0.1775,0.1670,0
393577,0.3811,0.0065,-0.0159,-0.9244,-0.1642,0.1849,0.1609,0
393743,0.3813,0.0065,-0.0160,-0.9243,-0.1753,0.1699,0.1652,0
393910,0.3814,0.0066,-0.0162,-0.9242,-0.1776,0.1799,0.1728,0
394077,0.3815,0.0066,-0.0163,-0.9242,-0.1884,0.1859,0.1650,0
394243,0.3816,0.0067,-0.0165,-0.9241,-0.1966,0.1873,0.1507,0
394410,0.3817,0.0068,-0.0166,-0.9241,-0.1786,0.1961,0.1594,0
394577,0.3818,0.0068,-0.0167,-0.9240,-0.1682,0.1841,0.1546,0
394743,0.3820,0.0069,-0.0169,-0.9240,-0.1851,0.1782,0.1726,0
394910,0.3821,0.0069,-0.0170,-0.9240,-0.1872,0.1804,0.1743,0
395077,0.3822,0.0070,-0.0172,-0.9239,-0.1993,0.1891,0.1437,0
395243,0.3823,0.0071,-0.0173,-0.9239,-0.2046,0.1861,0.1618,0
395410,0.3824,0.0071,-0.0174,-0.9238,-0.2010,0.2126,0.1699,0
395577,0.3825,0.0072,-0.0176,-0.9238,-0.1897,0.2039,0.1652,0
395743,0.3826,0.0072,-0.0177,-0.9237,-0.1913,0.2146,0.1750,0
395910,0.3827,0.0073,-0.0178,-0.9237,-0.1786,0.1956,0.1766,0
396077,0.3828,0.0073,-0.0179,-0.9236,-0.1838,0.2043,0.1660,0
396243,0.3829,0.0074,-0.0181,-0.9236,-0.2156,0.2022,0.1825,0
396410,0.3831,0.0074,-0.0182,-0.9235,-0.2184,0.1983,0.1429,0
396577,0.3831,0.0075,-0.0183,-0.9235,-0.2293,0.2047,0.1549,0
396743,0.3832,0.0075,-0.0184,-0.9234,-0.2053,0.2064,0.1566,0
396910,0.3834,0.0076,-0.0186,-0.9234,-0.1948,0.2110,0.1615,0
397077,0.3835,0.0076,-0.0187,-0.9233,-0.2024,0.2173,0.1830,0
397243,0.3836,0.0077,-0.0188,-0.9233,-0.2012,0.2317,0.1578,0
397410,0.3837,0.0077,-0.0189,-0.9232,-0.2249,0.2279,0.1678,0
397577,0.3838,0.0078,-0.0190,-0.9232,-0.2178,0.2161,0.1430,0
397743,0.3839,0.0078,-0.0192,-0.9231,-0.2307,0.2125,0.1665,0
397910,0.3840,0.0079,-0.0193,-0.9231,-0.2235,0.2167,0.1422,0
398077,0.3841,0.0079,-0.0194,-0.9231,-0.2284,0.2305,0.1744,0
398243,0.3842,0.0080,-0.0195,-0.9230,-0.2262,0.2447,0.1528,0
398410,0.3843,0.0080,-0.0196,-0.9230,-0.2269,0.2518,0.1651,0
398577,0.3844,0.0081,-0.0197,-0.9229,-0.2311,0.2365,0.1551,0
398743,0.3846,0.0081,-0.0198,-0.9229,-0.2329,0.2236,0.1554,0
