DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.850,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1332950,0.9804,0.0040,-0.0765,-0.1813,-0.0935,-0.3492,-0.0189,0
1333117,0.9804,0.0043,-0.0765,-0.1813,-0.1095,-0.3549,-0.0155,0
1333283,0.9805,0.0046,-0.0766,-0.1812,-0.1122,-0.3492,-0.0366,0
1333450,0.9805,0.0049,-0.0766,-0.1811,-0.1095,-0.3479,-0.0227,0
1333617,0.9805,0.0052,-0.0766,-0.1811,-0.1190,-0.3814,-0.0367,0
1333783,0.9805,0.0055,-0.0767,-0.1810,-0.1272,-0.3728,-0.0197,0
1333950,0.9805,0.0057,-0.0767,-0.1809,-0.1388,-0.3864,-0.0244,0
1334117,0.9805,0.0060,-0.0768,-0.1808,-0.1201,-0.3834,-0.0333,0
1334283,0.9805,0.0063,-0.0768,-0.1808,-0.1348,-0.3942,-0.0094,0
1334450,0.9805,0.0066,-0.0768,-0.1807,-0.1334,-0.3852,-0.0302,0
1334617,0.9805,0.0068,-0.0768,-0.1806,-0.1338,-0.4028,-0.0476,0
1334783,0.9805,0.0071,-0.0769,-0.1806,-0.1369,-0.4078,-0.0125,0
1334950,0.9805,0.0074,-0.0769,-0.1805,-0.1463,-0.4118,-0.0114,0
1335117,0.9805,0.0076,-0.0769,-0.1805,-0.1361,-0.4085,-0.0227,0
1335283,0.9805,0.0079,-0.0770,-0.1804,-0.1274,-0.4137,-0.0362,0
1335450,0.9806,0.0082,-0.0770,-0.1803,-0.1353,-0.4058,-0.0312,0
1335617,0.9806,0.0084,-0.0770,-0.1802,-0.1199,-0.4216,-0.0333,0
1335783,0.9806,0.0087,-0.0771,-0.1802,-0.1397,-0.4246,-0.0123,0
1335950,0.9806,0.0089,-0.0771,-0.1801,-0.1298,-0.4331,-0.0168,0
1336117,0.9806,0.0092,-0.0771,-0.1801,-0.1370,-0.4501,-0.0404,0
1336283,0.9806,0.0094,-0.0771,-0.1800,-0.1403,-0.4462,-0.0294,0
1336450,0.9806,0.0097,-0.0772,-0.1799,-0.1562,-0.4526,-0.0322,0
1336617,0.9806,0.0099,-0.0772,-0.1799,-0.1428,-0.4501,-0.0315,0
1336783,0.9806,0.0101,-0.0772,-0.1798,-0.1495,-0.4639,-0.0438,0
1336950,0.9806,0.0104,-0.0773,-0.1798,-0.1461,-0.4627,-0.0194,0
1337117,0.9806,0.0106,-0.0773,-0.1797,-0.1461,-0.4701,-0.0196,0
1337283,0.9806,0.0108,-0.0773,-0.1796,-0.1519,-0.4672,-0.0357,0
1337450,0.9806,0.0111,-0.0773,-0.1796,-0.1529,-0.4776,-0.0303,0
1337617,0.9806,0.0113,-0.0773,-0.1795,-0.1603,-0.4795,-0.0041,0
1337783,0.9807,0.0115,-0.0774,-0.1795,-0.1599,-0.4817,-0.0354,0
1337950,0.9807,0.0118,-0.0774,-0.1794,-0.1533,-0.4958,-0.0528,0
1338117,0.9807,0.0120,-0.0774,-0.1793,-0.1621,-0.4835,-0.0293,0
1338283,0.9807,0.0122,-0.0774,-0.1793,-0.1685,-0.4872,-0.0347,0
1338450,0.9807,0.0124,-0.0775,-0.1792,-0.1517,-0.4913,-0.0348,0
1338617,0.9807,0.0126,-0.0775,-0.1792,-0.1553,-0.4934,-0.0203,0
1338783,0.9807,0.0128,-0.0775,-0.1792,-0.1550,-0.4989,-0.0383,0
1338950,0.9807,0.0130,-0.0776,-0.1791,-0.1642,-0.5097,-0.0345,0
1339117,0.9807,0.0132,-0.0776,-0.1790,-0.1631,-0.5131,-0.0253,0
1339283,0.9807,0.0134,-0.0776,-0.1790,-0.1620,-0.5102,-0.0484,0
1339450,0.9807,0.0136,-0.0776,-0.1789,-0.1584,-0.5175,-0.0370,0
1339617,0.9807,0.0138,-0.0776,-0.1788,-0.1539,-0.5217,-0.0250,0
1339783,0.9807,0.0140,-0.0777,-0.1788,-0.1714,-0.5382,-0.0418,0
1339950,0.9807,0.0142,-0.0777,-0.1786,-0.1727,-0.5374,-0.0380,0
1340117,0.9808,0.0144,-0.0777,-0.1786,-0.1747,-0.5347,-0.0270,0
1340283,0.9808,0.0145,-0.0777,-0.1785,-0.1810,-0.5488,-0.0265,0
1340450,0.9808,0.0147,-0.0777,-0.1784,-0.1654,-0.5437,-0.0481,0
1340617,0.9808,0.0149,-0.0778,-0.1784,-0.1662,-0.5444,-0.0414,0
1340783,0.9808,0.0151,-0.0778,-0.1783,-0.1767,-0.5405,-0.0400,0
1340950,0.9808,0.0152,-0.0778,-0.1782,-0.1772,-0.5420,-0.0382,0
1341117,0.9808,0.0154,-0.0778,-0.1782,-0.1675,-0.5552,-0.0312,0
1341283,0.9808,0.0155,-0.0779,-0.1781,-0.1669,-0.5617,-0.0499,0
1341450,0.9808,0.0157,-0.0779,-0.1780,-0.1780,-0.5576,-0.0384,0
1341617,0.9808,0.0158,-0.0779,-0.1779,-0.1817,-0.5619,-0.0536,0
1341783,0.9808,0.0160,-0.0779,-0.1779,-0.1794,-0.5745,-0.0503,0
1341950,0.9808,0.0161,-0.0779,-0.1778,-0.1777,-0.5634,-0.0407,0
1342117,0.9809,0.0163,-0.0779,-0.1777,-0.1768,-0.5698,-0.0391,0
1342283,0.9811,-0.0145,-0.0739,-0.1784,-0.0060,0.0015,-0.0227,0
1342450,0.9811,-0.0145,-0.0739,-0.1784,-0.0031,0.0000,-0.0174,0
1342617,0.9811,-0.0146,-0.0739,-0.1785,0.0015,-0.0132,-0.0252,0
1342783,0.9810,-0.0146,-0.0739,-0.1785,-0.0115,-0.0052,-0.0324,0
1342950,0.9810,-0.0146,-0.0739,-0.1786,0.0070,0.0005,-0.0236,0
1343117,0.9810,-0.0146,-0.0739,-0.1786,0.0054,-0.0063,-0.0296,0
1343283,0.9810,-0.0146,-0.0739,-0.1787,0.0116,-0.0058,-0.0225,0
1343450,0.9810,-0.0146,-0.0739,-0.1787,0.0079,0.0090,-0.0274,0
1343617,0.9810,-0.0146,-0.0739,-0.1788,0.0168,0.0053,-0.0193,0
1343783,0.9810,-0.0146,-0.0739,-0.1788,0.0060,-0.0151,-0.0294,0
1343950,0.9810,-0.0146,-0.0739,-0.1789,-0.0064,0.0093,-0.0188,0
1344117,0.9810,-0.0146,-0.0739,-0.1789,-0.0049,-0.0025,0.0021,0
1344283,0.9810,-0.0146,-0.0739,-0.1790,0.0158,-0.0009,-0.0080,0
1344450,0.9810,-0.0146,-0.0739,-0.1790,0.0150,0.0021,-0.0120,0
1344617,0.9810,-0.0146,-0.0739,-0.1790,-0.0068,0.0142,-0.0174,0
1344783,0.9809,-0.0146,-0.0739,-0.1791,0.0012,0.0038,0.0029,0
1344950,0.9809,-0.0146,-0.0739,-0.1791,0.0220,0.0076,-0.0326,0
1345117,0.9809,-0.0146,-0.0739,-0.1792,0.0008,0.0132,-0.0316,0
1345284,0.9809,-0.0146,-0.0739,-0.1792,0.0024,0.0040,-0.0126,0
1345450,0.9809,-0.0146,-0.0739,-0.1793,0.0081,0.0103,-0.0140,0
1345617,0.9809,-0.0146,-0.0739,-0.1793,-0.0083,0.0101,-0.0354,0
1345784,0.9809,-0.0147,-0.0739,-0.1793,0.0013,0.0058,-0.0055,0
1345950,0.9809,-0.0147,-0.0739,-0.1794,0.0043,-0.0091,-0.0147,0
1346117,0.9809,-0.0147,-0.0739,-0.1794,-0.0010,-0.0021,-0.0218,0
1346284,0.9809,-0.0147,-0.0739,-0.1795,0.0098,-0.0037,-0.0309,0
1346450,0.9809,-0.0147,-0.0739,-0.1795,0.0002,-0.0010,-0.0303,0
1346617,0.9809,-0.0147,-0.0739,-0.1795,0.0050,-0.0025,-0.0077,0
1346784,0.9809,-0.0147,-0.0739,-0.1796,-0.0026,-0.0124,-0.0086,0
1346950,0.9808,-0.0147,-0.0739,-0.1796,0.0004,-0.0052,-0.0150,0
1347117,0.9808,-0.0147,-0.0739,-0.1797,0.0011,0.0158,-0.0360,0
1347284,0.9808,-0.0147,-0.0739,-0.1797,-0.0001,-0.0002,-0.0074,0
