DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.510,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1336419,0.9910,-0.0040,-0.0789,-0.1078,-0.0033,-0.0066,0.4941,0
1336586,0.9910,-0.0040,-0.0789,-0.1078,-0.0012,0.0031,0.4980,0
1336752,0.9910,-0.0040,-0.0789,-0.1078,0.0184,-0.0008,0.5145,0
1336919,0.9910,-0.0040,-0.0789,-0.1078,0.0107,0.0120,0.4948,0
1337086,0.9910,-0.0040,-0.0789,-0.1078,0.0001,-0.0032,0.5234,0
1337252,0.9910,-0.0040,-0.0789,-0.1078,0.0039,0.0041,0.5179,0
1337419,0.9910,-0.0040,-0.0789,-0.1078,-0.0030,0.0055,0.5050,0
1337586,0.9910,-0.0040,-0.0789,-0.1078,-0.0075,-0.0073,0.5181,0
1337752,0.9910,-0.0040,-0.0789,-0.1078,-0.0033,-0.0047,0.5131,0
1337919,0.9910,-0.0040,-0.0789,-0.1078,0.0056,-0.0077,0.5037,0
1338086,0.9910,-0.0040,-0.0789,-0.1079,0.0079,0.0047,0.5093,0
1338252,0.9910,-0.0040,-0.0789,-0.1079,0.0092,0.0028,0.5234,0
1338419,0.9910,-0.0040,-0.0789,-0.1079,0.0009,-0.0054,0.5055,0
1338586,0.9910,-0.0040,-0.0789,-0.1079,0.0002,0.0089,0.5119,0
1338752,0.9910,-0.0040,-0.0789,-0.1079,-0.0041,-0.0065,0.5213,0
1338919,0.9910,-0.0040,-0.0789,-0.1079,0.0093,-0.0010,0.5249,0
1339086,0.9910,-0.0040,-0.0789,-0.1079,-0.0084,-0.0080,0.5139,0
1339253,0.9910,-0.0040,-0.0789,-0.1079,0.0072,-0.0044,0.5051,0
1339419,0.9910,-0.0040,-0.0789,-0.1079,0.0031,0.0118,0.5004,0
1339586,0.9910,-0.0040,-0.0789,-0.1079,0.0058,0.0085,0.5259,0
1339753,0.9910,-0.0040,-0.0789,-0.1079,0.0003,0.0055,0.5114,0
1339919,0.9910,-0.0040,-0.0789,-0.1079,-0.0138,-0.0054,0.5097,0
1340086,0.9910,-0.0040,-0.0789,-0.1079,-0.0073,0.0011,0.5135,0
1340253,0.9910,-0.0040,-0.0789,-0.1080,0.0068,0.0082,0.5093,0
1340419,0.9910,-0.0040,-0.0789,-0.1080,0.0074,0.0009,0.5211,0
1340586,0.9910,-0.0040,-0.0789,-0.1080,-0.0053,0.0090,0.5226,0
1340753,0.9910,-0.0040,-0.0789,-0.1080,-0.0020,-0.0142,0.5066,0
1340919,0.9910,-0.0040,-0.0789,-0.1080,-0.0093,0.0001,0.5127,0
1341086,0.9910,-0.0040,-0.0789,-0.1080,0.0044,0.0033,0.5233,0
1341253,0.9910,-0.0040,-0.0789,-0.1080,0.0159,-0.0034,0.5069,0
1341419,0.9910,-0.0040,-0.0789,-0.1080,0.0018,0.0014,0.5109,0
1341586,0.9910,-0.0040,-0.0789,-0.1080,0.0006,-0.0023,0.5252,0
1341753,0.9910,-0.0040,-0.0789,-0.1080,0.0065,-0.0003,0.5251,0
1341919,0.9910,-0.0040,-0.0789,-0.1080,-0.0077,-0.0029,0.5210,0
1342086,0.9910,-0.0040,-0.0789,-0.1080,-0.0005,-0.0017,0.5371,0
