DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.724,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
149712,0.9275,-0.0431,0.0225,0.3707,0.0011,-0.0188,-0.0309,0
149879,0.9274,-0.0431,0.0225,0.3708,0.0103,-0.0057,-0.0491,0
150046,0.9274,-0.0431,0.0225,0.3709,-0.0022,-0.0064,-0.0302,0
150212,0.9273,-0.0431,0.0225,0.3710,-0.0051,-0.0215,-0.0213,0
150379,0.9273,-0.0431,0.0225,0.3712,-0.0201,-0.0022,-0.0461,0
150546,0.9272,-0.0431,0.0225,0.3713,-0.0074,-0.0097,-0.0301,0
150712,0.9272,-0.0431,0.0225,0.3714,-0.0043,-0.0076,-0.0560,0
150879,0.9271,-0.0431,0.0224,0.3715,-0.0085,-0.0142,-0.0411,0
151046,0.9271,-0.0432,0.0224,0.3717,0.0179,-0.0242,-0.0475,0
151212,0.9270,-0.0432,0.0224,0.3718,-0.0024,-0.0099,-0.0427,0
151379,0.9270,-0.0432,0.0224,0.3719,-0.0068,-0.0065,-0.0368,0
151546,0.9269,-0.0432,0.0224,0.3720,0.0007,0.0041,-0.0411,0
151712,0.9269,-0.0432,0.0224,0.3722,0.0175,-0.0130,-0.0463,0
151879,0.9269,-0.0432,0.0224,0.3723,0.0180,-0.0125,-0.0214,0
152046,0.9268,-0.0432,0.0224,0.3724,-0.0652,-0.0036,0.0360,0
152212,0.9267,-0.0432,0.0224,0.3725,-0.1040,-0.0226,-0.1178,0
152379,0.9267,-0.0432,0.0224,0.3726,-0.0389,-0.0178,-0.0085,0
152546,0.9266,-0.0432,0.0224,0.3728,0.0391,-0.0036,-0.0506,0
152712,0.9266,-0.0432,0.0224,0.3729,0.0772,-0.0084,-0.0326,0
152879,0.9266,-0.0432,0.0224,0.3730,0.0527,-0.0096,-0.0087,0
153046,0.9265,-0.0432,0.0224,0.3731,-0.0251,-0.0342,-0.0672,0
